season,week,home_team,away_team,home_score,away_score,home_win,point_diff
2022,1,LA,BUF,10,31,0,-21
2022,1,ATL,NO,26,27,0,-1
2022,1,CAR,CLE,24,26,0,-2
2022,1,CHI,SF,19,10,1,9
2022,1,CIN,PIT,20,23,0,-3
2022,1,DET,PHI,35,38,0,-3
2022,1,HOU,IND,20,20,0,0
2022,1,MIA,NE,20,7,1,13
2022,1,NYJ,BAL,9,24,0,-15
2022,1,WAS,JAX,28,22,1,6
2022,1,ARI,KC,21,44,0,-23
2022,1,LAC,LV,24,19,1,5
2022,1,MIN,GB,23,7,1,16
2022,1,TEN,NYG,20,21,0,-1
2022,1,DAL,TB,3,19,0,-16
2022,1,SEA,DEN,17,16,1,1
2022,2,KC,LAC,27,24,1,3
2022,2,BAL,MIA,38,42,0,-4
2022,2,CLE,NYJ,30,31,0,-1
2022,2,DET,WAS,36,27,1,9
2022,2,JAX,IND,24,0,1,24
2022,2,NO,TB,10,20,0,-10
2022,2,NYG,CAR,19,16,1,3
2022,2,PIT,NE,14,17,0,-3
2022,2,LA,ATL,31,27,1,4
2022,2,SF,SEA,27,7,1,20
2022,2,DAL,CIN,20,17,1,3
2022,2,DEN,HOU,16,9,1,7
2022,2,LV,ARI,23,29,0,-6
2022,2,GB,CHI,27,10,1,17
2022,2,BUF,TEN,41,7,1,34
2022,2,PHI,MIN,24,7,1,17
2022,3,CLE,PIT,29,17,1,12
2022,3,CAR,NO,22,14,1,8
2022,3,CHI,HOU,23,20,1,3
2022,3,IND,KC,20,17,1,3
2022,3,MIA,BUF,21,19,1,2
2022,3,MIN,DET,28,24,1,4
2022,3,NE,BAL,26,37,0,-11
2022,3,NYJ,CIN,12,27,0,-15
2022,3,TEN,LV,24,22,1,2
2022,3,WAS,PHI,8,24,0,-16
2022,3,LAC,JAX,10,38,0,-28
2022,3,ARI,LA,12,20,0,-8
2022,3,SEA,ATL,23,27,0,-4
2022,3,TB,GB,12,14,0,-2
2022,3,DEN,SF,11,10,1,1
2022,3,NYG,DAL,16,23,0,-7
2022,4,CIN,MIA,27,15,1,12
2022,4,NO,MIN,25,28,0,-3
2022,4,ATL,CLE,23,20,1,3
2022,4,BAL,BUF,20,23,0,-3
2022,4,DAL,WAS,25,10,1,15
2022,4,DET,SEA,45,48,0,-3
2022,4,HOU,LAC,24,34,0,-10
2022,4,IND,TEN,17,24,0,-7
2022,4,NYG,CHI,20,12,1,8
2022,4,PHI,JAX,29,21,1,8
2022,4,PIT,NYJ,20,24,0,-4
2022,4,CAR,ARI,16,26,0,-10
2022,4,GB,NE,27,24,1,3
2022,4,LV,DEN,32,23,1,9
2022,4,TB,KC,31,41,0,-10
2022,4,SF,LA,24,9,1,15
2022,5,DEN,IND,9,12,0,-3
2022,5,GB,NYG,22,27,0,-5
2022,5,BUF,PIT,38,3,1,35
2022,5,CLE,LAC,28,30,0,-2
2022,5,JAX,HOU,6,13,0,-7
2022,5,MIN,CHI,29,22,1,7
2022,5,NE,DET,29,0,1,29
2022,5,NO,SEA,39,32,1,7
2022,5,NYJ,MIA,40,17,1,23
2022,5,TB,ATL,21,15,1,6
2022,5,WAS,TEN,17,21,0,-4
2022,5,CAR,SF,15,37,0,-22
2022,5,ARI,PHI,17,20,0,-3
2022,5,LA,DAL,10,22,0,-12
2022,5,BAL,CIN,19,17,1,2
2022,5,KC,LV,30,29,1,1
2022,6,CHI,WAS,7,12,0,-5
2022,6,ATL,SF,28,14,1,14
2022,6,CLE,NE,15,38,0,-23
2022,6,GB,NYJ,10,27,0,-17
2022,6,IND,JAX,34,27,1,7
2022,6,MIA,MIN,16,24,0,-8
2022,6,NO,CIN,26,30,0,-4
2022,6,NYG,BAL,24,20,1,4
